a, 1047;
b, 1048;
c, 1049;
d, 1050;
e, 1051;
f, 1052;
g, 1053;
h, 1054;
i, 1055;
j, 1056;
k, 1057;
l, 1058;
m, 1059;
n, 1060;
o, 1061;
p, 1062;
q, 1063;
r, 1064;
s, 1065;
t, 1066;
u, 1067;
v, 1068;
w, 1069;
x, 1070;
y, 1071;
z, 1072;
0, 1073;
1, 1074;
2, 1075;
3, 1076;
4, 1077;
5, 1078;
6, 1079;
7, 1080;
8, 1081;
9, 1082;
-, 1083;
=, 1084;
OpeningBracket, 1085;
ClosingBracket, 1086;
Semicolon, 1087;
', 1088;
BackSlash, 1090;
Comma, 1091;
Period, 1092;
FrontSlash, 1093;
Return, 1;
Tab, 2;
Space, 3;
Backspace, 4;
Escape, 5;
Command, 6;
Ctrl, 6;
Shift, 7;
CapsLock, 8;
Option, 9;
Alt, 9;
ControlWin, 10;
RightShift, 11;
RightOption, 12;
RightControl, 13;
Func, 14;
F1, 15;
F2, 16;
F3, 17;
F4, 18;
F5, 19;
F6, 20;
F7, 21;
F8, 22;
F9, 23;
F10, 24;
F11, 25;
F12, 26;
F13, 27;
F14, 28;
F15, 29;
F16, 30;
F17, 31;
F18, 32;
F19, 33;
F20, 34;
Insert, 35;
Delete, 36;
PageUp, 37;
PageDown, 38;
Home, 39;
End, 40;
VolumeUp, 41;
VolumeDown, 42;
RightArrow, 43;
LeftArrow, 44;
UpArrow, 45;
DownArrow, 46;
0 Keypad, 1000;
1 Keypad, 1001;
2 Keypad, 1002;
3 Keypad, 1003;
4 Keypad, 1004;
5 Keypad, 1005;
6 Keypad, 1006;
7 Keypad, 1007;
8 Keypad, 1008;
9 Keypad, 1009;
Divide, 1010;
Multiply, 1011;
Subtract, 1012;
Add, 1013;
Enter, 1014;
Decimal, 1015;
NumLock, 1016;
Equals, 1017;
